TIP5P System - No Bonds/Angles (for rigid/small)

496 atoms

5 atom types

-20.0 20.0 xlo xhi
-20.0 20.0 ylo yhi
-20.0 20.0 zlo zhi

Masses

1 28.0855
2 12.0107
3 15.9994
4 1.008
5 0.0001

Atoms  # full

250 51 5 -0.241 -3.367448 0.875699 3.407686
251 51 5 -0.241 -3.020451 0.801272 4.193461
252 52 3 0.000 -4.509171 7.495999 1.301003
253 52 4 0.241 -3.732824 7.064867 0.937674
254 52 4 0.241 -4.240748 8.408844 1.424530
255 52 5 -0.241 -4.855743 6.887722 1.275326
256 52 5 -0.241 -5.144425 7.651583 1.552035
257 53 3 0.000 -4.957472 0.710351 6.234276
258 53 4 0.241 -4.544777 0.660645 5.369517
259 53 4 0.241 -5.180128 1.637543 6.340748
260 53 5 -0.241 -4.866213 0.020426 6.314575
261 53 5 -0.241 -5.227320 0.575654 6.866582
262 54 3 0.000 -2.235558 4.347758 0.896605
263 54 4 0.241 -1.846083 4.664474 0.078929
264 54 4 0.241 -3.181668 4.426606 0.757839
265 54 5 -0.241 -1.594463 4.229488 1.153084
266 54 5 -0.241 -2.353554 4.094294 1.538949
267 55 3 0.000 5.243309 -7.421200 9.317192
268 55 4 0.241 5.209495 -7.596644 8.374498
269 55 4 0.241 5.533674 -8.249408 9.704948
270 55 5 -0.241 5.030636 -6.764103 9.199859
271 55 5 -0.241 5.214886 -7.135108 9.956031
272 56 3 0.000 -3.620271 -0.381301 -1.310258
273 56 4 0.241 -3.469353 0.399227 -1.847469
274 56 4 0.241 -3.998864 -0.042605 -0.496287
275 56 5 -0.241 -3.362817 -0.781640 -1.824280
276 56 5 -0.241 -3.663768 -1.032759 -1.056324
277 57 3 0.000 3.269558 -4.299072 1.427981
278 57 4 0.241 2.577074 -4.538416 0.808484
279 57 4 0.241 3.598816 -5.138611 1.755637
280 57 5 -0.241 3.149873 -3.621566 1.295948
281 57 5 -0.241 3.730588 -3.962691 1.834271
282 58 3 0.000 -9.420543 -1.815055 -8.643890
283 58 4 0.241 -9.637456 -1.528716 -9.533583
284 58 4 0.241 -8.956125 -1.069149 -8.258485
285 58 5 -0.241 -9.730459 -2.430683 -8.769292
286 58 5 -0.241 -9.343219 -2.169485 -8.044579
287 59 3 0.000 6.828804 -0.534862 9.784041
288 59 4 0.241 6.475562 -0.996259 9.020544
289 59 4 0.241 6.300272 -0.849881 10.520255
290 59 5 -0.241 7.292945 -0.211639 9.370673
291 59 5 -0.241 7.193317 -0.128443 10.223047
292 60 3 0.000 2.729042 6.513259 -2.467232
293 60 4 0.241 2.005642 5.889194 -2.378735
294 60 4 0.241 3.432982 6.141888 -1.931370
295 60 5 -0.241 2.332565 6.909181 -2.887737
296 60 5 -0.241 3.143806 7.052802 -2.633473
297 61 3 0.000 1.135629 -9.473793 -8.523738
298 61 4 0.241 1.195278 -9.119026 -9.413220
299 61 4 0.241 1.279046 -8.715841 -7.953181
300 61 5 -0.241 1.016408 -10.111212 -8.788796
301 61 5 -0.241 1.064018 -9.882058 -7.958970
302 62 3 0.000 4.163322 9.350737 5.820809
303 62 4 0.241 4.928872 8.980975 5.376055
304 62 4 0.241 4.232041 10.295882 5.670565
305 62 5 -0.241 3.969343 8.706707 6.016692
306 62 5 -0.241 3.573293 9.454046 6.184080
307 63 3 0.000 0.516467 9.548647 0.987197
308 63 4 0.241 1.274650 9.790805 0.451366
309 63 4 0.241 0.200463 8.729908 0.599379
310 63 5 -0.241 0.613959 10.121056 1.379136
311 63 5 -0.241 0.003436 9.518086 1.463260
