epsilon,Thermo_Temp_MSE,Thermo_Temp_Corr,Thermo_Press_MSE,Thermo_Press_Corr,Thermo_PE_MSE,Thermo_PE_Corr,Thermo_KE_MSE,Thermo_KE_Corr,Thermo_Vol_MSE,Thermo_Vol_Corr,Thermo_Dens_MSE,Thermo_Dens_Corr,RDF_CC_MSE,RDF_CC_Corr,RDF_CO_MSE,RDF_CO_Corr,RDF_OO_MSE,RDF_OO_Corr
0.55,5.694350490245666,-0.0038859925532712097,62638.73761445619,0.03235659195989505,99296.89061550515,0.05509130090246014,712.3359300316365,-0.0039009910045719326,204632.96605953237,0.014073991742907998,7.615969892200083e-05,0.014343541326440517,62.71649440759642,-0.10435492829365617,0.12618430070259312,0.5930772595421578,0.2783027965168518,0.33830691903074867
0.6,5.454558821555116,0.060505114736172545,66428.93677294273,0.05629802330402198,185214.66695528795,-0.018184562131928206,682.1941286879818,0.06050128467314858,305882.3538740245,0.020772526857170327,0.00011429705810799959,0.020596586971063587,64.89050715411813,-0.12177130569581507,0.16583590178495158,0.4628216778757753,0.2959517224680712,0.33602172084787474
0.65,5.711875617781614,0.019677859990108685,63521.33117221978,-0.004465845311044017,316948.18964116764,-0.03810943523868275,714.2949266246208,0.019667230760521733,392609.3783739265,0.01807136352065374,0.00014687892786400026,0.01788027147485793,69.7842622908741,-0.1542229289719333,0.16024394940780218,0.5660008569805668,0.32462668566516745,0.30458112616020583
0.7,5.500799211887974,-0.026148345077421035,57358.80901984003,-0.038155440745085825,460454.17693167925,-0.013768188287929159,687.7713094482425,-0.02615592638756,539504.0733128958,-0.003835540212696547,0.00020256108567899995,-0.00420717722439286,83.2207508870688,-0.12048667069577565,0.2047518983339077,0.5241027408693227,0.3897733311482704,0.2950175706860903
0.75,5.560182491012708,0.04945677407401993,58471.975290864495,0.011834708386089451,638072.8165450989,-0.005061989195639789,694.9288861294099,0.04945233488488192,699920.6178393908,-0.021891534392859426,0.000263610284399,-0.02172257608696601,99.157452418154,-0.17493457742021076,0.3606043101813068,0.26782035094377465,0.49084450152925674,0.2733135781068686
0.8,6.24985974758429,-0.0039049217357118382,60534.62772133723,0.02792910331732043,843854.9666902429,-0.06477803263161197,781.0196245526599,-0.003906878564095529,860581.100794955,-0.00902727168516136,0.00032503455539400046,-0.008910548481408181,121.98536300278539,-0.2051415395285425,0.4793220860814098,0.24476475946243278,0.652634662516253,0.26098816440713085
0.85,5.806500547791484,-0.009831878429954215,51961.24530289807,-0.028933225225217834,1079881.5773431477,-0.029095864905355272,725.8136805563079,-0.009825315259668989,982418.7477674996,-0.008250114071410332,0.00037185095767899834,-0.008408588841093913,138.81230192075427,-0.19140493095021405,0.49730079020353557,0.43843339675890103,0.8365800238561104,0.24838228723461928
0.9,5.981348497300326,0.010041895397278433,60128.486168080075,0.030183520587227092,1354342.3903967922,0.016236256530766362,747.6579648679124,0.010026940437628737,1271552.6890863844,-0.0032867613135407346,0.00048358088651400045,-0.0035360364412038,170.11765476211687,-0.2262529273320212,0.7404458960613526,0.25859377028383473,1.0772550247724475,0.22926043186891693
0.95,5.691224268649447,0.019577864746146225,58772.43230620028,0.008608253640353114,1670333.786258532,0.04317369399985046,711.076606446397,0.01958693654594976,1489704.9337585727,0.02505817461608263,0.0005683151925400001,0.024709706061211537,202.841245544052,-0.23968230638504257,0.9422451656560711,0.23118813757662593,1.3355511956812045,0.22571972888929998
1.05,5.842535144225307,-0.04696035669039689,61364.319138649,0.027079781803828907,2351827.2505751564,0.029647207136418708,730.1871933511816,-0.046960792753462,1873932.2870506898,-0.0116607920194071,0.0007185601387229998,-0.011681370530722676,278.861188393027,-0.26900971198896456,1.5319924415290103,0.1975683527876544,2.0329543888629966,0.20751801154066832
1.1,6.330068691882982,-0.007823045240783423,63946.124184797656,0.048527122490896635,2762296.215806683,0.037284510780820054,791.3920432220369,-0.007816901208894122,2067985.40715909,-0.05225192991553769,0.0007951242493530006,-0.052328523865565926,332.7132610679739,-0.2737438691341379,1.9345929707830454,0.2146054257701017,2.586693930901573,0.19823321590453677
